repo,gold_kind,zoekt_MRR,zoekt_hit1,zoekt_hit2,zoekt_hit3,zoekt_n,zoekt_p95ms,zoekt_p100ms,semantic_MRR,semantic_hit1,semantic_hit2,semantic_hit3,semantic_n,semantic_p95ms,semantic_p100ms,lexical_MRR,lexical_hit1,lexical_hit2,lexical_hit3,lexical_n,lexical_p95ms,lexical_p100ms,lexical+zoekt_MRR,lexical+zoekt_hit1,lexical+zoekt_hit2,lexical+zoekt_hit3,lexical+zoekt_n,lexical+zoekt_p95ms,lexical+zoekt_p100ms,lexical+zoekt+semantic_MRR,lexical+zoekt+semantic_hit1,lexical+zoekt+semantic_hit2,lexical+zoekt+semantic_hit3,lexical+zoekt+semantic_n,lexical+zoekt+semantic_p95ms,lexical+zoekt+semantic_p100ms,cg_MRR,cg_hit1,cg_hit2,cg_hit3,cg_n,cg_p95ms,cg_p100ms,ctags_MRR,ctags_hit1,ctags_hit2,ctags_hit3,ctags_n,ctags_p95ms,ctags_p100ms,ast-grep_MRR,ast-grep_hit1,ast-grep_hit2,ast-grep_hit3,ast-grep_n,ast-grep_p95ms,ast-grep_p100ms,serena_MRR,serena_hit1,serena_hit2,serena_hit3,serena_n,serena_p95ms,serena_p100ms,code-index-mcp_MRR,code-index-mcp_hit1,code-index-mcp_hit2,code-index-mcp_hit3,code-index-mcp_n,code-index-mcp_p95ms,code-index-mcp_p100ms,jcodemunch_MRR,jcodemunch_hit1,jcodemunch_hit2,jcodemunch_hit3,jcodemunch_n,jcodemunch_p95ms,jcodemunch_p100ms,rg_MRR,rg_hit1,rg_hit2,rg_hit3,rg_n,rg_p95ms,rg_p100ms,cmm_MRR,cmm_hit1,cmm_hit2,cmm_hit3,cmm_n,cmm_p95ms,cmm_p100ms,fff_MRR,fff_hit1,fff_hit2,fff_hit3,fff_n,fff_p95ms,fff_p100ms,ccc_MRR,ccc_hit1,ccc_hit2,ccc_hit3,ccc_n,ccc_p95ms,ccc_p100ms
OVERALL,definition,0.8756,0.8422,0.8816,0.8939,1470,67,282,0.8756,0.8422,0.8816,0.8939,1470,65,279,0.8689,0.8184,0.8898,0.9082,1470,201,3490,0.8686,0.8177,0.8898,0.9082,1470,197,2834,0.8296,0.7823,0.8510,0.8660,1470,132,861,0.7704,0.7381,0.7823,0.7939,1470,35,361,0.7578,0.7286,0.7714,0.7803,1470,2,26,0.5465,0.4517,0.5680,0.6184,1470,2103,4829,0.6312,0.5612,0.6599,0.6837,1470,3568,22111,0.5586,0.4599,0.5619,0.6190,1470,343,2834,0.3897,0.2558,0.3816,0.4796,1470,301,5932,0.5889,0.4735,0.5980,0.6619,1470,45,204,0.7440,0.6918,0.7667,0.7891,1470,485,1856,0.7014,0.6592,0.7211,0.7361,1470,33,226,0.6552,0.5660,0.6646,0.7184,1470,566,12888
OVERALL,content,0.9056,0.8713,0.9137,0.9323,1344,67,282,0.9056,0.8713,0.9137,0.9323,1344,65,279,0.8936,0.8430,0.9196,0.9338,1344,201,3490,0.8936,0.8430,0.9196,0.9338,1344,197,2834,0.8639,0.8155,0.8884,0.9025,1344,132,861,0.0000,0.0000,0.0000,0.0000,1344,35,361,0.0000,0.0000,0.0000,0.0000,1344,2,26,0.6044,0.5804,0.6101,0.6235,1344,2103,4829,0.7760,0.7515,0.7760,0.7872,1344,3568,22111,0.7034,0.6696,0.7098,0.7292,1344,343,2834,0.6656,0.6414,0.6644,0.6815,1344,301,5932,0.8675,0.8400,0.8683,0.8817,1344,45,204,0.7273,0.6935,0.7396,0.7545,1344,485,1856,0.8714,0.8452,0.8787,0.8929,1344,33,226,0.7190,0.6458,0.7321,0.7753,1344,566,12888
OVERALL,semantic,0.5648,0.4336,0.5681,0.6523,1688,67,282,0.5652,0.4336,0.5687,0.6528,1688,65,279,0.5871,0.4295,0.6286,0.7186,1688,201,3490,0.5869,0.4295,0.6280,0.7180,1688,197,2834,0.0000,0.0000,0.0000,0.0000,1688,132,861,0.0529,0.0338,0.0480,0.0658,1688,35,361,0.0000,0.0000,0.0000,0.0000,1688,2,26,0.0007,0.0006,0.0006,0.0006,1688,2103,4829,0.0046,0.0024,0.0053,0.0065,1688,3568,22111,0.0035,0.0000,0.0006,0.0018,1688,343,2834,0.0775,0.0403,0.0681,0.0847,1688,301,5932,0.0000,0.0000,0.0000,0.0000,1688,45,204,0.2546,0.1771,0.2571,0.3110,1688,485,1856,0.0227,0.0059,0.0107,0.0225,1688,33,226,0.5947,0.4656,0.6108,0.6896,1688,566,12888
OVERALL,swebench,0.4949,0.4042,0.5007,0.5509,1514,67,282,0.4949,0.4042,0.5007,0.5509,1514,65,279,0.4985,0.3930,0.5125,0.5608,1514,201,3490,0.4985,0.3930,0.5125,0.5608,1514,197,2834,0.4402,0.3501,0.4524,0.4947,1514,132,861,0.3707,0.3078,0.3771,0.4155,1514,35,361,0.2215,0.2008,0.2285,0.2358,1514,2,26,0.2387,0.1816,0.2404,0.2748,1514,2103,4829,0.3308,0.2629,0.3203,0.3554,1514,3568,22111,0.2587,0.2015,0.2556,0.2880,1514,343,2834,0.2257,0.1341,0.1942,0.2721,1514,301,5932,0.2531,0.1790,0.2477,0.2774,1514,45,204,0.4238,0.3448,0.4313,0.4927,1514,485,1856,0.3496,0.2880,0.3520,0.3798,1514,33,226,0.3741,0.2748,0.3745,0.4320,1514,566,12888
OVERALL,sessions,0.0000,0.0000,0.0000,0.0000,0,67,282,0.0000,0.0000,0.0000,0.0000,0,65,279,0.0000,0.0000,0.0000,0.0000,0,201,3490,0.0000,0.0000,0.0000,0.0000,0,197,2834,0.0000,0.0000,0.0000,0.0000,0,132,861,0.0000,0.0000,0.0000,0.0000,0,35,361,0.0000,0.0000,0.0000,0.0000,0,2,26,0.0000,0.0000,0.0000,0.0000,0,2103,4829,0.0000,0.0000,0.0000,0.0000,0,3568,22111,0.0000,0.0000,0.0000,0.0000,0,343,2834,0.0000,0.0000,0.0000,0.0000,0,301,5932,0.0000,0.0000,0.0000,0.0000,0,45,204,0.0000,0.0000,0.0000,0.0000,0,485,1856,0.0000,0.0000,0.0000,0.0000,0,33,226,0.0000,0.0000,0.0000,0.0000,0,566,12888
astropy,definition,0.9714,0.9700,0.9700,0.9700,100,60,219,0.9714,0.9700,0.9700,0.9700,100,58,196,0.9410,0.9200,0.9600,0.9600,100,167,359,0.9410,0.9200,0.9600,0.9600,100,174,404,0.9410,0.9200,0.9600,0.9600,100,113,292,0.9400,0.9400,0.9400,0.9400,100,16,40,0.9400,0.9400,0.9400,0.9400,100,4,8,0.7966,0.7300,0.8200,0.8300,100,1197,3195,0.8581,0.7900,0.9100,0.9300,100,1271,4935,0.7183,0.6000,0.7600,0.8000,100,336,2834,0.5582,0.3700,0.5600,0.7000,100,265,1986,0.7371,0.6000,0.8000,0.8600,100,35,106,0.7920,0.7900,0.7900,0.7900,100,138,297,0.8821,0.8600,0.8900,0.9000,100,25,133,0.7497,0.6400,0.7900,0.8600,100,504,12888
astropy,content,1.0000,1.0000,1.0000,1.0000,100,60,219,1.0000,1.0000,1.0000,1.0000,100,58,196,0.9308,0.8800,0.9700,0.9800,100,167,359,0.9308,0.8800,0.9700,0.9800,100,174,404,0.9308,0.8800,0.9700,0.9800,100,113,292,0.0000,0.0000,0.0000,0.0000,100,16,40,0.0000,0.0000,0.0000,0.0000,100,4,8,0.9100,0.9100,0.9100,0.9100,100,1197,3195,1.0000,1.0000,1.0000,1.0000,100,1271,4935,0.9000,0.8900,0.9100,0.9100,100,336,2834,0.9100,0.9100,0.9100,0.9100,100,265,1986,1.0000,1.0000,1.0000,1.0000,100,35,106,0.9100,0.9100,0.9100,0.9100,100,138,297,1.0000,1.0000,1.0000,1.0000,100,25,133,0.8454,0.7800,0.8600,0.9100,100,504,12888
astropy,semantic,0.5447,0.4385,0.5308,0.6154,130,60,219,0.5447,0.4385,0.5308,0.6154,130,58,196,0.5709,0.4308,0.6308,0.6846,130,167,359,0.5709,0.4308,0.6308,0.6846,130,174,404,0.0000,0.0000,0.0000,0.0000,130,113,292,0.0213,0.0077,0.0154,0.0385,130,16,40,0.0000,0.0000,0.0000,0.0000,130,4,8,0.0000,0.0000,0.0000,0.0000,130,1197,3195,0.0000,0.0000,0.0000,0.0000,130,1271,4935,0.0011,0.0000,0.0000,0.0000,130,336,2834,0.0193,0.0077,0.0231,0.0231,130,265,1986,0.0000,0.0000,0.0000,0.0000,130,35,106,0.2497,0.1923,0.2308,0.2769,130,138,297,0.0197,0.0077,0.0154,0.0154,130,25,133,0.6034,0.4615,0.6308,0.7000,130,504,12888
astropy,swebench,0.4276,0.3200,0.4500,0.5100,100,60,219,0.4276,0.3200,0.4500,0.5100,100,58,196,0.4415,0.3100,0.4600,0.5300,100,167,359,0.4415,0.3100,0.4600,0.5300,100,174,404,0.3873,0.2700,0.4100,0.4600,100,113,292,0.3675,0.2900,0.3600,0.4500,100,16,40,0.1885,0.1800,0.1800,0.1800,100,4,8,0.2314,0.1700,0.2100,0.2400,100,1197,3195,0.2502,0.1800,0.2500,0.2800,100,1271,4935,0.2213,0.1700,0.1800,0.2500,100,336,2834,0.1815,0.0800,0.1600,0.2100,100,265,1986,0.2238,0.1600,0.2100,0.2300,100,35,106,0.3036,0.2200,0.3200,0.3800,100,138,297,0.3231,0.2800,0.2900,0.3500,100,25,133,0.2612,0.1500,0.2400,0.3300,100,504,12888
astropy,sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
