repo,gold_kind,MRR,hit1,hit2,hit3,n,p95ms,p100ms
OVERALL,definition,0.8658,0.8178,0.8911,0.9089,1570,141,3653
OVERALL,content,0.8732,0.8283,0.9010,0.9107,1444,141,3653
OVERALL,semantic,0.2251,0.1502,0.2298,0.2696,879,141,3653
OVERALL,swebench,0.4981,0.3947,0.5288,0.5844,1908,141,3653
OVERALL,sessions,0.5581,0.4521,0.5845,0.6436,491,141,3653
astropy,definition,0.9550,0.9400,0.9700,0.9700,100,90,124
astropy,content,0.9450,0.8900,1.0000,1.0000,100,90,124
astropy,semantic,0.2028,0.1500,0.1917,0.2333,120,90,124
astropy,swebench,0.4319,0.2900,0.4800,0.5400,100,90,124
astropy,sessions,,,,,,,
django,definition,0.8424,0.7867,0.8671,0.8986,286,180,989
django,content,0.9275,0.8917,0.9490,0.9554,157,180,989
django,semantic,0.2369,0.1575,0.2283,0.2913,127,180,989
django,swebench,0.4586,0.3288,0.5151,0.5699,365,180,989
django,sessions,,,,,,,
lemoncrow,definition,0.7840,0.7700,0.7900,0.7900,100,139,284
lemoncrow,content,0.4700,0.4400,0.5000,0.5000,100,139,284
lemoncrow,semantic,,,,,,,
lemoncrow,swebench,0.4739,0.3832,0.4898,0.5381,394,139,284
lemoncrow,sessions,0.5581,0.4521,0.5845,0.6436,491,139,284
matplotlib,definition,0.9850,0.9800,0.9900,0.9900,100,112,166
matplotlib,content,0.9700,0.9500,0.9900,0.9900,100,112,166
matplotlib,semantic,0.1710,0.0787,0.1969,0.2362,127,112,166
matplotlib,swebench,0.4900,0.3789,0.5263,0.5789,95,112,166
matplotlib,sessions,,,,,,,
seaborn,definition,0.9820,0.9700,0.9900,0.9900,100,84,122
seaborn,content,0.9717,0.9500,0.9900,0.9900,100,84,122
seaborn,semantic,0.5540,0.4783,0.6087,0.6087,23,84,122
seaborn,swebench,0.5198,0.4040,0.5354,0.6061,99,84,122
seaborn,sessions,,,,,,,
flask,definition,0.7314,0.6277,0.7872,0.8404,94,62,125
flask,content,0.7825,0.6804,0.8454,0.8763,97,62,125
flask,semantic,0.2500,0.0000,0.5000,0.5000,2,62,125
flask,swebench,0.5169,0.3939,0.5657,0.6061,99,62,125
flask,sessions,,,,,,,
requests,definition,0.9390,0.9000,0.9700,0.9700,100,62,124
requests,content,0.9100,0.8557,0.9485,0.9485,97,62,124
requests,semantic,0.4861,0.3333,0.3333,0.6667,3,62,124
requests,swebench,0.5490,0.4747,0.5758,0.6263,99,62,124
requests,sessions,,,,,,,
xarray,definition,0.9350,0.8700,1.0000,1.0000,100,89,175
xarray,content,0.9650,0.9400,0.9900,0.9900,100,89,175
xarray,semantic,0.4321,0.3077,0.4615,0.5000,26,89,175
xarray,swebench,0.5347,0.4545,0.5253,0.6061,99,89,175
xarray,sessions,,,,,,,
pylint,definition,0.9561,0.9400,0.9700,0.9700,100,90,153
pylint,content,0.9779,0.9700,0.9800,0.9800,100,90,153
pylint,semantic,0.1472,0.0833,0.1944,0.1944,36,90,153
pylint,swebench,0.7568,0.6796,0.7961,0.8350,103,90,153
pylint,sessions,,,,,,,
pytest,definition,0.9850,0.9700,1.0000,1.0000,100,86,236
pytest,content,0.9950,0.9900,1.0000,1.0000,100,86,236
pytest,semantic,0.1889,0.1000,0.1000,0.2000,20,86,236
pytest,swebench,0.5630,0.4242,0.6263,0.7172,99,86,236
pytest,sessions,,,,,,,
scikit-learn,definition,0.7086,0.6400,0.7400,0.7500,100,104,3653
scikit-learn,content,0.8145,0.7576,0.8283,0.8586,99,104,3653
scikit-learn,semantic,0.1994,0.1600,0.2000,0.2000,25,104,3653
scikit-learn,swebench,0.6007,0.5361,0.5876,0.6495,97,104,3653
scikit-learn,sessions,,,,,,,
sphinx,definition,0.6657,0.5435,0.7065,0.7935,92,96,155
sphinx,content,0.7445,0.6392,0.7938,0.8247,97,96,155
sphinx,semantic,0.2113,0.1316,0.2018,0.2544,114,96,155
sphinx,swebench,0.4639,0.3542,0.5000,0.5625,96,96,155
sphinx,sessions,,,,,,,
sympy,definition,0.7475,0.6429,0.7857,0.8265,98,180,248
sympy,content,0.7275,0.6186,0.7732,0.8144,97,180,248
sympy,semantic,0.1338,0.0543,0.1473,0.1705,129,180,248
sympy,swebench,0.5055,0.4200,0.5200,0.5800,100,180,248
sympy,sessions,,,,,,,
linux,definition,0.9222,0.8900,0.9300,0.9400,100,167,264
linux,content,0.9825,0.9700,0.9900,0.9900,100,167,264
linux,semantic,0.3181,0.2598,0.3228,0.3543,127,167,264
linux,swebench,0.1524,0.0952,0.1746,0.1905,63,167,264
linux,sessions,,,,,,,
